player_id,player_screens,codigo_soporte,screen_resolution,geolocation,latitude,longitude,address,zipcode,container_name,country,mall_name,tipo_soporte,tipo_emission,ubicacion,ID_digital,cp
498962714,11,TRACE-498962714, 1080x1920,"(-3.617466,40.023907)",40.023907,-3.617466,"P.º del Deleite, 13, 28300 Aranjuez",28300,EL DELEITE,SPAIN,El Deleite,MUPI,DIGITAL,INDOOR,498962714,28300
360547288,1,TRACE-360547288, 1040x624,"(0.023608,38.818322)",38.818322,0.023608,"Av. Costa Blanca, 2, 03760 Ondara, Alicante",03760,LEDS PORTAL DE LA MARINA,SPAIN,LEDS Portal de la Marina,MUPI,DIGITAL,INDOOR,360547288,03760
119141466,9,TRACE-119141466, 800x1280,"(-5.59548,42.612148)",42.612148,-5.59548,Av. Pais Leones,24010,ESPACIO LEON,SPAIN,Espacio Leon,MUPI,DIGITAL,INDOOR,119141466,24010
190743380,25,TRACE-190743380, 1080x1920,"(-3.900056,40.492245)",40.492245,-3.900056,Calle de los Químicos,28222,GRAN PLAZA 2,SPAIN,Gran Plaza 2,MUPI,DIGITAL,INDOOR,190743380,28222
55467212,2,TRACE-55467212, 1080x1920,"(-3.900056,40.492245)",40.492245,-3.900056,Calle de los Químicos,28222,GRAN PLAZA 2,SPAIN,Gran Plaza 2,MUPI,DIGITAL,INDOOR,55467212,28222
687050719,8,TRACE-687050719, 1080x1920,"(-3.900056,40.492245)",40.492245,-3.900056,Calle de los Químicos,28222,GRAN PLAZA 2,SPAIN,Gran Plaza 2,MUPI,DIGITAL,INDOOR,687050719,28222
660813784,1,TRACE-660813784, 1080x1920,"(-5.59548,42.612148)",42.612148,-5.59548,Av. Pais Leones,24010,ESPACIO LEON,SPAIN,Espacio Leon,MUPI,DIGITAL,INDOOR,660813784,24010
130128020,2,TRACE-130128020, 1080x1920,"(-3.608608,40.56776)",40.56776,-3.608608,Calle Salvador de Madariaga,28702,TSO SSRR,SPAIN,TSO SSRR,MUPI,DIGITAL,INDOOR,130128020,28702
126882160,1,TRACE-126882160, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,126882160,28906
626540036,12,TRACE-626540036, 1080x1920,"(-4.765844,37.877981)",37.877981,-4.765844,"Av. del Arcángel, s/n, 14010 Córdoba",14010,EL ARCÁNGEL,SPAIN,El Arcángel,MUPI,DIGITAL,INDOOR,626540036,14010
643220139,3,TRACE-643220139, 1080x1920,"(-3.615327,40.540638)",40.540638,-3.615327,Plaza del Comercio,28703,PLAZA NORTE 2,SPAIN,Plaza Norte 2,MUPI,DIGITAL,INDOOR,643220139,28703
166325016,16,TRACE-166325016, 1080x1920,"(-0.889814,41.670524)",41.670524,-0.889814,Calle de la Poetisa Maria Zambrano,50018,GRAN CASA,SPAIN,Gran Casa,MUPI,DIGITAL,INDOOR,166325016,50018
335468121,10,TRACE-335468121, 1080x1920,"(-3.662275,40.381043)",40.381043,-3.662275,Av. Pablo Neruda,28018,MADRID SUR,SPAIN,Madrid Sur,MUPI,DIGITAL,INDOOR,335468121,28018
131256219,9,TRACE-131256219, 720x1280,"(2.10498,41.362671)",41.362671,2.10498,Av. de Josep Tarradellas,08901,LA FARGA,SPAIN,La Farga,MUPI,DIGITAL,INDOOR,131256219,08901
701594237,11,TRACE-701594237, 720x1280,"(-3.916043,38.980328)",38.980328,-3.916043,Av. de Europa,13005,EL PARQUE,SPAIN,El Parque,MUPI,DIGITAL,INDOOR,701594237,13005
703831291,4,TRACE-703831291, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,NASSICA,SPAIN,Nassica,MUPI,DIGITAL,INDOOR,703831291,28906
673849979,8,TRACE-673849979, 1080x1920,"(-3.615327,40.540638)",40.540638,-3.615327,Plaza del Comercio,28703,PLAZA MORALEJA,SPAIN,Plaza Moraleja,MUPI,DIGITAL,INDOOR,673849979,28703
