emotion,gender,age,isView,isImpression,dwellTime,mask,sessionTime,zoneId,direction,deviceId,timestamp,deviceName,attentionTime
SURPRISED,MALE,30.045454545454547,8,44,2.6495741459612665,0,23.626992515542284,,,d23ac55386b97,2023-09-07 00:00:00,ICPNA Lima Norte,2.6495741459612665
FEAR,FEMALE,26.25,6,8,6.1800670325756064,0,22.945947051048275,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,6.1800670325756064
,,0,308,34745,4.1700651095533852,21,11.574500199721834,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,4.1700651095533852
,,0,218,26804,1.6786143201574377,91,8.13749702177872,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,1.6786143201574377
HAPPY,MALE,23.7,6,10,1.3407137564250402,0,4.836487197875976,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,1.3407137564250402
SURPRISED,MALE,27.53846153846154,8,13,4.040147516255578,0,8.0319598638094387,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,4.040147516255578
ANGRY,FEMALE,29.571428571428569,7,14,2.1274027790014558,0,7.0563027092388708,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,2.1274027790014558
FEAR,MALE,30.768292682926827,26,82,2.58560271249261,0,12.896291710254621,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,2.58560271249261
DISGUST,FEMALE,28.5,1,2,0.75104457139968872,0,6.0413172245025635,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,0.75104457139968872
NEUTRAL,MALE,28.8062015503876,63,129,2.85991893323477,0,12.557670785013096,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,2.85991893323477
HAPPY,FEMALE,28.428571428571431,7,7,27.379717213766916,0,56.528390884399421,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,27.379717213766916
SAD,MALE,26.425,29,40,6.4176154311965492,0,13.77217502295971,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,6.4176154311965492
ANGRY,MALE,27.8,15,25,7.4265588390640938,0,11.507528681755065,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,7.4265588390640938
HAPPY,MALE,28.826086956521738,15,23,5.0501793213188648,0,13.424272345459981,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,5.0501793213188648
DISGUST,MALE,29.2,3,5,5.8332190910975141,0,25.468663549423219,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,5.8332190910975141
ANGRY,FEMALE,27.606060606060606,17,33,3.0000074671374426,0,14.619617362817129,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,3.0000074671374426
SAD,FEMALE,26.661870503597125,92,139,6.4641698971894153,0,11.828484079820647,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,6.4641698971894153
ANGRY,MALE,29.203389830508474,34,118,2.8167065950554036,0,14.194468981128628,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,2.8167065950554036
HAPPY,FEMALE,25.125000000000004,10,16,2.0851150384316077,0,7.2983480468392372,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,2.0851150384316077
SAD,MALE,27.864406779661014,79,177,5.7175992095399462,0,16.500954055179989,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,5.7175992095399462
SURPRISED,FEMALE,27.055555555555554,2,18,1.266544044017792,0,17.750463147958119,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,1.266544044017792
NEUTRAL,FEMALE,28.033333333333331,32,60,3.2356857073128875,0,10.375269014636675,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,3.2356857073128875
SAD,FEMALE,24.147058823529413,28,34,7.8878895159690607,0,12.528821950449663,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,7.8878895159690607
NEUTRAL,FEMALE,26.55,17,20,8.4207113001887741,0,12.947097638249396,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,8.4207113001887741
FEAR,FEMALE,28.45945945945946,16,37,1.8226144783522771,0,12.419579559081308,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,1.8226144783522771
SURPRISED,FEMALE,22,2,2,18.795514106750488,0,28.65655517578125,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,18.795514106750488
FEAR,MALE,29.190476190476193,12,21,3.1909018017743769,0,8.4020102109227874,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,3.1909018017743769
SURPRISED,MALE,26.844155844155843,15,77,2.4609125458768433,0,17.910448493121507,,,d23ac55386b97,2023-09-08 00:00:00,ICPNA Lima Norte,2.4609125458768433
NEUTRAL,MALE,26.979166666666668,26,48,3.7208727206517418,0,6.8021611012518406,,,dc60b0252e15d,2023-09-08 00:00:00,IPCNA Surco,3.7208727206517418
ANGRY,MALE,30.092526690391452,54,281,2.9263381234370183,0,19.108291831941361,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,2.9263381234370183
NEUTRAL,MALE,28.588235294117652,23,34,2.9873721129421531,0,5.964263193747577,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,2.9873721129421531
SAD,MALE,27.357142857142854,29,42,2.4489139943782772,0,8.119029121739521,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,2.4489139943782772
SURPRISED,MALE,27.963855421686748,12,83,2.5267367668242922,0,20.377949836742442,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,2.5267367668242922
FEAR,FEMALE,26.545454545454543,16,22,2.3789303548634049,0,5.1688502972776238,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,2.3789303548634049
DISGUST,FEMALE,28.181818181818183,1,11,1.753009376426538,0,6.7783023769205268,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,1.753009376426538
NEUTRAL,MALE,31,83,190,3.5902488875553149,0,14.857535099669503,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,3.5902488875553149
ANGRY,FEMALE,29.999999999999996,14,79,1.945819762721658,0,9.9807310692871685,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,1.945819762721658
HAPPY,FEMALE,27.23076923076923,7,13,1.8758386207434039,0,11.086729058852562,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,1.8758386207434039
HAPPY,MALE,31.46875,21,32,3.7651532799776262,0,14.611944869160652,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,3.7651532799776262
FEAR,MALE,31.851851851851844,13,27,1.4904212167279589,0,6.2790758278634815,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.4904212167279589
,,0,418,46664,3.4407399668318819,13,10.290482977055046,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,3.4407399668318819
NEUTRAL,FEMALE,27.888888888888886,28,54,2.3237062194517679,0,12.08167862340256,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,2.3237062194517679
DISGUST,FEMALE,27,2,2,1.7834215760231018,0,4.4509958028793335,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.7834215760231018
SAD,FEMALE,26.318181818181824,12,22,2.0203404253348722,0,4.1424490592696452,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,2.0203404253348722
SURPRISED,FEMALE,24.571428571428573,6,7,6.3420312737247775,0,10.962969524519783,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,6.3420312737247775
DISGUST,MALE,31.761904761904763,8,21,1.4408613920211792,0,15.704334588277908,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,1.4408613920211792
FEAR,FEMALE,30.806451612903228,23,62,3.1081121452152733,0,12.331922447489154,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,3.1081121452152733
SURPRISED,FEMALE,26.4,2,15,4.4941647350788116,0,13.223398391405739,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,4.4941647350788116
DISGUST,MALE,32,0,2,0.29437045753002167,0,2.2716888189315796,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,0.29437045753002167
HAPPY,MALE,24,1,1,1.9512121677398682,0,8.2123298645019531,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.9512121677398682
FEAR,MALE,30.715639810426534,67,211,3.6546440886521934,0,15.98264557236179,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,3.6546440886521934
NEUTRAL,FEMALE,28.730769230769234,20,26,1.9832759103314448,0,5.2720385239674492,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.9832759103314448
ANGRY,FEMALE,25.071428571428569,7,14,1.8238317974927749,0,6.7992461834635058,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.8238317974927749
ANGRY,MALE,30.71875,19,32,1.5491570405662063,0,5.0889852289110422,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.5491570405662063
HAPPY,FEMALE,26.285714285714285,5,7,2.9194155833018676,0,4.9278019326073785,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,2.9194155833018676
SURPRISED,MALE,26.666666666666668,5,9,1.1969379420791353,0,2.77164728111691,,,dc60b0252e15d,2023-09-09 00:00:00,IPCNA Surco,1.1969379420791353
SAD,MALE,29.832911392405062,169,395,5.2828012818965719,0,18.201971914194811,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,5.2828012818965719
,,0,800,41233,3.8479894858830233,361,10.27029311293467,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,3.8479894858830233
SAD,FEMALE,27.351351351351347,51,111,2.4050244243526966,0,10.72808210699408,,,d23ac55386b97,2023-09-09 00:00:00,ICPNA Lima Norte,2.4050244243526966
SAD,MALE,54,1,1,2.1012368202209473,0,2.6448988914489746,,,dc60b0252e15d,2023-09-10 00:00:00,IPCNA Surco,2.1012368202209473
,,0,1,28543,0.85151890354851889,,10.185707611847983,,,dc60b0252e15d,2023-09-10 00:00:00,IPCNA Surco,0.85151890354851889
FEAR,MALE,41,1,1,1.3053271770477295,0,3.2721700668334961,,,dc60b0252e15d,2023-09-10 00:00:00,IPCNA Surco,1.3053271770477295
,,0,0,33512,0,,12.297672288015193,,,d23ac55386b97,2023-09-10 00:00:00,ICPNA Lima Norte,0
SURPRISED,MALE,27.277777777777779,13,36,1.2979401026386768,0,11.985825674401388,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,1.2979401026386768
HAPPY,MALE,28.142857142857142,24,35,2.6988896326191956,0,6.0774668131555831,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,2.6988896326191956
,,0,411,39678,3.1628800152500749,19,9.8364853481880257,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,3.1628800152500749
FEAR,MALE,28.866666666666667,7,15,11.540293649584054,0,20.49240087668101,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,11.540293649584054
HAPPY,MALE,26,3,3,17.50322961807251,0,22.044847329457603,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,17.50322961807251
DISGUST,FEMALE,27,0,1,0,0,1.0672088861465454,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,0
DISGUST,FEMALE,26.25,2,4,0.415507048368454,0,5.0251952409744263,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,0.415507048368454
FEAR,FEMALE,28.925925925925927,8,27,1.7974727343535053,0,10.481788001678607,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,1.7974727343535053
SAD,MALE,28.511764705882356,84,170,2.3945516536027944,0,10.919679880843447,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,2.3945516536027944
FEAR,MALE,31.3,19,70,1.701255289488472,0,12.332511417354857,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,1.701255289488472
HAPPY,FEMALE,25.599999999999998,9,10,3.1410101234912871,0,6.9201794385910036,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,3.1410101234912871
ANGRY,FEMALE,24.4,8,10,2.4383327232466803,0,4.8346924304962151,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,2.4383327232466803
SURPRISED,FEMALE,32.571428571428569,5,7,8.5602196703354512,0,16.232798610414775,,,dc60b0252e15d,2023-09-11 00:00:00,IPCNA Surco,8.5602196703354512
ANGRY,FEMALE,31.823529411764707,6,17,1.0784206489721935,0,7.6400680682238411,,,d23ac55386b97,2023-09-11 00:00:00,ICPNA Lima Norte,1.0784206489721935
