,display_unit_id,display_unit_name,screen_count,display_unit_active,container_name,container_active,Screen ID,screen_width,screen_height
61,49759820,MXC-21-2,2,True,MAX CENTER/MAX OCIO,True,255724654,720,1280
62,175189058,ALC-12,12,True,ALCORES,True,175741736,1080,1920
63,127314259,ANDINO ,5,True,ANDINO,True,,,
64,91211795,JOCKEY PLAZA * General,19,True,JOCKEY PLAZA - iWALL,True,503406632,1080,1920
65,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,224535559,2160,3840
66,296349499,ZUBIARTE DIRECTORIO,3,True,DIRECTORIOS,True,277741966,640,480
67,460306573,PLAZA CENTRAL,14,True,PLAZA CENTRAL,True,,,
68,180920770,SFE MED,6,True,SANTA FE MED,True,,,
69,49478635,PMY-RIT-6,6,True,PLAZA MAYOR,True,459181984,1080,1920
70,296349499,ZUBIARTE DIRECTORIO,3,True,DIRECTORIOS,True,255553055,1080,1920
71,55127464,MAP SANTA ANITA,20,True,MALL STA.ANITA,True,216179564,1080,1920
72,261689650,SONAE-DIRECTORIO-LUZDELTAJO,5,True,DIRECTORIOS,True,313758338,2160,3840
73,317669703,UNIVERSIDAD PRIVADA DEL NORTE,0,True,UPN - Universidad Privada del Norte,True,343442139,1920,1080
74,343439092,SUPERMERCADO - MINKA,3,True,RED DE SUPERMERCADOS,True,325482708,1080,1920
75,49566202,CAS-3.0-1,1,True,CASTELLANA 200,True,184210149,1080,1920
76,104729316,PN2-10.1-2-AK,3,True,PLAZA NORTE 2,True,145442054,1080,1920
77,277151217,TITAN PLAZA DIRECTORIO,5,True,DIRECTORIOS,True,302862717,1080,1920
78,349644293,VITALDENT_VAGUADA,1,True,CORPORATIVAS,True,349644285,1080,1920
79,470981703,COR-UBIC6,2,True,TSO CORUÑA,True,466321199,1080,1920
80,49760091,MSH-5,2,True,MODA SHOPPING,True,203184758,1080,1920
81,250817432,SONAE-DIRECTORIO AREA SUR,4,True,DIRECTORIOS,True,247651617,2160,3840
82,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,197078305,1080,1920
83,146377276,CENTRO MAYOR,14,True,CENTRO MAYOR,True,,,
84,277151217,TITAN PLAZA DIRECTORIO,5,True,DIRECTORIOS,True,,,
85,324850483,MINKA,5,True,MINKA,True,396907571,1080,1920
86,340848828,LED Gran Formato - Gran Via 2 DECATHLON - 1920x1080,1,True,LEDS GRANVIA2,True,343745641,1152,1280
87,91211795,JOCKEY PLAZA * General,19,True,JOCKEY PLAZA - iWALL,True,260188237,1080,1920
88,134801225,NUESTRO BOGOTA,13,True,NUESTRO BOGOTA,True,,,
89,179001693,RES-9,9,True,EL RESTON,True,205043388,1080,1920
90,343461070,SUPERMERCADO - MOL (PLAZA VEA),3,True,RED DE SUPERMERCADOS,True,400980056,1080,1920
91,282308818,USIL EMPRENDEDORES -CNORTE,1,True,USIL Emprendedores,True,297067956,1080,1920
92,49758799,FSR-1/2-2,2,True,TSO SSRR,True,130128020,1080,1920
93,474100841,FGE-14-1,1,True,TSO GETAFE,True,474101515,2160,3840
94,460306573,PLAZA CENTRAL,14,True,PLAZA CENTRAL,True,,,
95,34230160,LED Gran Formato - Castellana 200 INTERIOR 720x288,1,True,LEDS CASTELLANA 200,True,34350066,2048,1152
96,49759781,MXC-RIT-10,10,True,MAX CENTER/MAX OCIO,True,330298212,720,1280
97,256159990,LED Gran Formato - Finestrelles 600x600,1,True,LEDS FINESTRELLES,True,316868963,1920,1080
98,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,197051203,1080,1920
99,194350303,MSU-RITI-10,11,True,MADRID SUR,True,88885721,1080,1920
100,49759421,GP2-PPS-27,29,True,GRAN PLAZA 2,True,190743380,1080,1920
101,343439092,SUPERMERCADO - MINKA,3,True,RED DE SUPERMERCADOS,True,325265209,1080,1920
102,141462004,PLAZA IMPERIAL,13,True,PLAZA IMPERIAL,True,,,
103,193476323,ALE-RITI-8,8,True,ALEGRA,True,218493063,1080,1920
104,49566815,GV2-RIT-29 circuito IWALL,30,True,GRAN VIA 2,True,491632207,1080,1920
105,104729316,PN2-10.1-2-AK,3,True,PLAZA NORTE 2,True,443946109,1080,1920
106,49478635,PMY-RIT-6,6,True,PLAZA MAYOR,True,441464864,1080,1920
107,49758353,FSR-3/4-2,2,True,TSO SSRR,True,97152160,1080,1920
108,49704311,PAS-RIT-13,13,True,EL PASEO,True,349641896,768,1024
109,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,225178219,2160,3840
110,180920770,SFE MED,6,True,SANTA FE MED,True,,,
111,217031421,LA RAMBLA - San Borja (VIDEOWALL),2,True,LA RAMBLA - San Borja (VIDEOWALL),True,319636798,1920,1080
112,288556831,LORANCA - Corporativa - 3caras,5,True,CORPORATIVAS,True,299372863,1080,1920
113,21480137,LED Gran Formato - Gran Plaza 2 - ubic RITI - 3  leds-restauracion,3,True,LEDS GRAN PLAZA 2,True,97150575,1920,1080
114,363728830,SONAE_DIRECTORIO_AREA SUR HORIZONTAL,2,True,DIRECTORIOS,True,363797277,1600,900
115,343461011,SUPERMERCADO - MS (TOTTUS),3,True,RED DE SUPERMERCADOS,True,519150850,1080,1920
116,324850483,MINKA,5,True,MINKA,True,325189207,1080,1920
117,146377276,CENTRO MAYOR,14,True,CENTRO MAYOR,True,,,
118,460306573,PLAZA CENTRAL,14,True,PLAZA CENTRAL,True,,,
119,91211795,JOCKEY PLAZA * General,19,True,JOCKEY PLAZA - iWALL,True,68032101,1080,1920
120,460306573,PLAZA CENTRAL,14,True,PLAZA CENTRAL,True,,,
121,261689650,SONAE-DIRECTORIO-LUZDELTAJO,5,True,DIRECTORIOS,True,261722718,2160,3840
122,91211795,JOCKEY PLAZA * General,19,True,JOCKEY PLAZA - iWALL,True,357258401,1080,1920
123,213611387,SONAE-DIRECTORIO-MAXCENTER,6,True,DIRECTORIOS,True,218353325,2160,3840
124,343439092,SUPERMERCADO - MINKA,3,True,RED DE SUPERMERCADOS,True,325269647,1080,1920
125,358867595,PRUEBA PSM,19,True,LABORATORIO,True,511514130,1080,1920
126,288556610,LOR-RIT-13,13,True,PLAZA LORANCA,True,170125117,1080,1920
127,49478655,PMY-RESTAUR-2,2,True,PLAZA MAYOR,True,442359188,720,1280
128,49769862,PN2-11-26,26,True,PLAZA NORTE 2,True,361851119,1080,1920
129,49566221,CAS-MKT-2,2,True,CASTELLANA 200,True,170262196,1080,1920
130,343439092,SUPERMERCADO - MINKA,3,True,RED DE SUPERMERCADOS,True,165907151,1080,1920
131,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,262654864,1080,1920
132,277151217,TITAN PLAZA DIRECTORIO,5,True,DIRECTORIOS,True,,,
133,197798082,ALU-QUIVIDI,0,True,PLAZA ALUCHE,True,115643159,1080,1920
134,49705862,FGE-4.1-2,2,True,TSO GETAFE,True,56418930,1080,1920
135,119102588,TLS (Primavera),1,True,TOULOUSE,True,203654617,1080,1920
136,54879729,ILL-RIT-18,18,True,ILLA DIAGONAL ,True,164889132,1080,1920
137,21337189,MODA SHOPPING Corporativa,3,True,CORPORATIVAS,True,308041748,1080,1920
138,134801225,NUESTRO BOGOTA,13,True,NUESTRO BOGOTA,True,,,
139,382665176,ILLA-CLEANAIR-5,5,True,ILLA DIAGONAL- CAM,True,392272793,1080,1920
140,58726588,MOLINA PLAZA,2,True,MOLINA PLAZA,True,323958169,1080,1920
141,416797860,NAS-SAS ASCENSOR,4,True,NASSICA,True,417008977,1080,1920
142,134801225,NUESTRO BOGOTA,13,True,NUESTRO BOGOTA,True,,,
143,213611387,SONAE-DIRECTORIO-MAXCENTER,6,True,DIRECTORIOS,True,218343145,6480,11520
144,49703361,PAR-RIT-11,11,True,EL PARQUE,True,96696949,720,1280
145,49770400,VLR-RIT-12,12,True,VALLE REAL,True,100935817,720,1280
146,58726588,MOLINA PLAZA,2,True,MOLINA PLAZA,True,244675774,1080,1920
147,324850483,MINKA,5,True,MINKA,True,328104149,1080,1920
148,49759734,LUZ-RIT-12,12,True,LUZ DE CASTILLA,True,105297153,720,1280
149,72819932,01 IWALL VENTAS,1,True,LABORATORIO,True,400961032,1366,768
150,49705831,FGE-3.1-2,2,True,TSO GETAFE,True,162880366,1080,1920
151,136033696,ANE-RITI,16,True,ANEC BLAU,True,136035969,1080,1920
152,382665176,ILLA-CLEANAIR-5,5,True,ILLA DIAGONAL- CAM,True,382585052,1080,1920
153,358867595,PRUEBA PSM,19,True,LABORATORIO,True,514803446,1080,1920
154,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,224535222,2160,3840
155,317669734,ZEGEL-IPAE,0,True,ZEGEL-IPAE,True,359166578,1080,1920
156,49759477,GP2-RK1-8,8,True,GRAN PLAZA 2,True,97149614,1080,1920
157,288338317,MEGA PLAZA - iCURVE (2048x576px),1,True,MEGA PLAZA - iCURVE,True,289400124,2048,1150
158,143717654,ILLA DIAGONAL - Corporativa,11,True,CORPORATIVAS,True,304158421,1080,1920
159,49770980,ZUB-RIT-14,16,True,ZUBIARTE,True,277761413,2160,3840
160,217031421,LA RAMBLA - San Borja (VIDEOWALL),2,True,LA RAMBLA - San Borja (VIDEOWALL),True,234638351,1360,768
161,382665176,ILLA-CLEANAIR-5,5,True,ILLA DIAGONAL- CAM,True,392266259,1080,1920
162,49705914,FGE-5.1-2,3,True,TSO GETAFE,True,175710931,720,1280
163,49566815,GV2-RIT-29 circuito IWALL,30,True,GRAN VIA 2,True,70174850,1080,1920
164,343461070,SUPERMERCADO - MOL (PLAZA VEA),3,True,RED DE SUPERMERCADOS,True,193786272,1080,1920
165,470981010,COR-UBIC4,2,True,TSO CORUÑA,True,181220270,1080,1920
166,460306573,PLAZA CENTRAL,14,True,PLAZA CENTRAL,True,,,
167,391373685,SUPERMERCADO - JP ( Plz Vea),3,True,RED DE SUPERMERCADOS,True,270539524,1080,1920
168,194897920,MEGAPLAZA - IWALL (1080X1920),12,True,MEGAPLAZA,True,196626621,1080,1920
169,382665176,ILLA-CLEANAIR-5,5,True,ILLA DIAGONAL- CAM,True,392269280,1080,1920
170,215576473,SONAE-DIRECTORIO GRAN CASA,9,True,DIRECTORIOS,True,224534967,720,1280
171,49759421,GP2-PPS-27,29,True,GRAN PLAZA 2,True,421213330,1080,1920
172,343461070,SUPERMERCADO - MOL (PLAZA VEA),3,True,RED DE SUPERMERCADOS,True,234624548,1080,1920
173,261218831,FIN-RITI-LINUX,28,True,FINESTRELLES,True,259381118,1080,1920
174,49769969,PN2-8-1,1,True,PLAZA NORTE 2,True,97148210,1080,1920
175,358867595,PRUEBA PSM,19,True,LABORATORIO,True,357270644,2160,3840
176,146377276,CENTRO MAYOR,14,True,CENTRO MAYOR,True,,,
177,175189015,POR-12,12,True,PORTAL MARINA,True,175193371,1080,1920
178,256242587,CITROEN EVENTO,1,True,EVENTOS,True,208790496,2160,3840
179,349644297,VITALDENT_MARINA,2,True,CORPORATIVAS,True,325380697,1080,1920
180,70677844,GV2-RIT-21 circuito SAS,21,True,GRAN VIA 2,True,149833201,1080,1920
181,230296267,GVV-RIT,13,True,GRAN VIA DE VIGO,True,243398500,1080,1920
182,181248674,COR-UBIC2,2,True,TSO CORUÑA,True,181234314,1080,1920
183,134801225,NUESTRO BOGOTA,13,True,NUESTRO BOGOTA,True,,,
184,349172036,ARENA DIRECTORIO,2,True,DIRECTORIOS,True,349125280,2160,3840
185,338968406,LED Gran Formato - Portal de la Marina - 1040 x 624,2,True,LEDS PORTAL DE LA MARINA,True,338967820,1040,624
186,343439092,SUPERMERCADO - MINKA,3,True,RED DE SUPERMERCADOS,True,325226966,1080,1920
187,474562589,FSR-15-1,1,True,TSO SSRR,True,299363976,1080,1920
188,181248745,COR-UBIC3,2,True,TSO CORUÑA,True,181247950,1080,1920
189,67029762,ILLA-TRAVEL-7 ,7,True,ILLA DIAGONAL ,True,145441076,1080,1920
190,338968406,LED Gran Formato - Portal de la Marina - 1040 x 624,2,True,LEDS PORTAL DE LA MARINA,True,338983645,1040,624
191,470981176,COR-UBIC5,2,True,TSO CORUÑA,True,181425149,1080,1920
192,49704412,ROS-RIT-10,10,True,EL ROSAL,True,358598359,720,1280
193,296349499,ZUBIARTE DIRECTORIO,3,True,DIRECTORIOS,True,277955632,2160,3840
194,49759572,FAR-RIT-9,9,True,LA FARGA,True,131256219,720,1280
195,357215086,CERTUS,0,True,CERTUS,True,356395826,1080,1920
196,363800329,SONAE-AREASUR-PINFO VERTICAL,1,True,DIRECTORIOS,True,363727809,2160,3840
197,49758332,FSR-12/13/14-3,3,True,TSO SSRR,True,332339904,1080,1920
198,91211795,JOCKEY PLAZA * General,19,True,JOCKEY PLAZA - iWALL,True,343068478,1080,1920
199,49705914,FGE-5.1-2,3,True,TSO GETAFE,True,391690470,720,1280
200,358867595,PRUEBA PSM,19,True,LABORATORIO,True,389560451,1080,1920
