visits,country,start_date,end_date,period,mall_name,mall_id,hivestack_site_id
0.0,SPAIN,2022-12-18 10:00:00,2022-12-18 11:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 11:00:00,2022-12-18 12:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 12:00:00,2022-12-18 13:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 13:00:00,2022-12-18 14:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 14:00:00,2022-12-18 15:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 15:00:00,2022-12-18 16:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 16:00:00,2022-12-18 17:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 17:00:00,2022-12-18 18:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 18:00:00,2022-12-18 19:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 19:00:00,2022-12-18 20:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 20:00:00,2022-12-18 21:00:00,HOUR,Albacenter,3,147095950
0.0,SPAIN,2022-12-18 21:00:00,2022-12-18 22:00:00,HOUR,Albacenter,3,147095950
74.0,SPAIN,2022-12-12 10:00:00,2022-12-12 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
138.0,SPAIN,2022-12-12 11:00:00,2022-12-12 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
164.0,SPAIN,2022-12-12 12:00:00,2022-12-12 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
188.0,SPAIN,2022-12-12 13:00:00,2022-12-12 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
191.0,SPAIN,2022-12-12 14:00:00,2022-12-12 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
218.0,SPAIN,2022-12-12 15:00:00,2022-12-12 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
219.0,SPAIN,2022-12-12 16:00:00,2022-12-12 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
221.0,SPAIN,2022-12-12 17:00:00,2022-12-12 18:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
247.0,SPAIN,2022-12-12 18:00:00,2022-12-12 19:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
222.0,SPAIN,2022-12-12 19:00:00,2022-12-12 20:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
239.0,SPAIN,2022-12-12 20:00:00,2022-12-12 21:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
369.0,SPAIN,2022-12-12 21:00:00,2022-12-12 22:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
156.0,SPAIN,2022-12-13 10:00:00,2022-12-13 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
242.0,SPAIN,2022-12-13 11:00:00,2022-12-13 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
210.0,SPAIN,2022-12-13 12:00:00,2022-12-13 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
245.0,SPAIN,2022-12-13 13:00:00,2022-12-13 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
240.0,SPAIN,2022-12-13 14:00:00,2022-12-13 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
256.0,SPAIN,2022-12-13 15:00:00,2022-12-13 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
229.0,SPAIN,2022-12-13 16:00:00,2022-12-13 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
226.0,SPAIN,2022-12-13 17:00:00,2022-12-13 18:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
236.0,SPAIN,2022-12-13 18:00:00,2022-12-13 19:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
218.0,SPAIN,2022-12-13 19:00:00,2022-12-13 20:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
231.0,SPAIN,2022-12-13 20:00:00,2022-12-13 21:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
400.0,SPAIN,2022-12-13 21:00:00,2022-12-13 22:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
113.0,SPAIN,2022-12-14 10:00:00,2022-12-14 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
201.0,SPAIN,2022-12-14 11:00:00,2022-12-14 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
206.0,SPAIN,2022-12-14 12:00:00,2022-12-14 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
254.0,SPAIN,2022-12-14 13:00:00,2022-12-14 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
260.0,SPAIN,2022-12-14 14:00:00,2022-12-14 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
263.0,SPAIN,2022-12-14 15:00:00,2022-12-14 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
164.0,SPAIN,2022-12-14 16:00:00,2022-12-14 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
273.0,SPAIN,2022-12-14 17:00:00,2022-12-14 18:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
269.0,SPAIN,2022-12-14 18:00:00,2022-12-14 19:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
221.0,SPAIN,2022-12-14 19:00:00,2022-12-14 20:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
235.0,SPAIN,2022-12-14 20:00:00,2022-12-14 21:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
381.0,SPAIN,2022-12-14 21:00:00,2022-12-14 22:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
112.0,SPAIN,2022-12-15 10:00:00,2022-12-15 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
198.0,SPAIN,2022-12-15 11:00:00,2022-12-15 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
221.0,SPAIN,2022-12-15 12:00:00,2022-12-15 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
268.0,SPAIN,2022-12-15 13:00:00,2022-12-15 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
273.0,SPAIN,2022-12-15 14:00:00,2022-12-15 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
269.0,SPAIN,2022-12-15 15:00:00,2022-12-15 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
251.0,SPAIN,2022-12-15 16:00:00,2022-12-15 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
252.0,SPAIN,2022-12-15 17:00:00,2022-12-15 18:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
271.0,SPAIN,2022-12-15 18:00:00,2022-12-15 19:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
259.0,SPAIN,2022-12-15 19:00:00,2022-12-15 20:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
289.0,SPAIN,2022-12-15 20:00:00,2022-12-15 21:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
409.0,SPAIN,2022-12-15 21:00:00,2022-12-15 22:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
111.0,SPAIN,2022-12-16 10:00:00,2022-12-16 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
207.0,SPAIN,2022-12-16 11:00:00,2022-12-16 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
218.0,SPAIN,2022-12-16 12:00:00,2022-12-16 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
262.0,SPAIN,2022-12-16 13:00:00,2022-12-16 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
281.0,SPAIN,2022-12-16 14:00:00,2022-12-16 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
326.0,SPAIN,2022-12-16 15:00:00,2022-12-16 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
295.0,SPAIN,2022-12-16 16:00:00,2022-12-16 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
298.0,SPAIN,2022-12-16 17:00:00,2022-12-16 18:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
309.0,SPAIN,2022-12-16 18:00:00,2022-12-16 19:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
287.0,SPAIN,2022-12-16 19:00:00,2022-12-16 20:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
281.0,SPAIN,2022-12-16 20:00:00,2022-12-16 21:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
527.0,SPAIN,2022-12-16 21:00:00,2022-12-16 22:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
141.0,SPAIN,2022-12-17 10:00:00,2022-12-17 11:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
281.0,SPAIN,2022-12-17 11:00:00,2022-12-17 12:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
343.0,SPAIN,2022-12-17 12:00:00,2022-12-17 13:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
438.0,SPAIN,2022-12-17 13:00:00,2022-12-17 14:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
433.0,SPAIN,2022-12-17 14:00:00,2022-12-17 15:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
420.0,SPAIN,2022-12-17 15:00:00,2022-12-17 16:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
459.0,SPAIN,2022-12-17 16:00:00,2022-12-17 17:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
434.0,SPAIN,2022-12-17 17:00:00,2022-12-17 18:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
456.0,SPAIN,2022-12-17 18:00:00,2022-12-17 19:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
426.0,SPAIN,2022-12-17 19:00:00,2022-12-17 20:00:00,HOUR,Alegra - Parque Comercial y de Ocio,5,193181250
