uuid;name;day;start_hour;end_hour;visits
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;19:00:00;20:00:00;311.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;20:00:00;21:00:00;303.0
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;2022-11-13;21:00:00;22:00:00;398.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;10:00:00;11:00:00;1112.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;11:00:00;12:00:00;1098.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;12:00:00;13:00:00;1085.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;13:00:00;14:00:00;1107.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;14:00:00;15:00:00;800.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;15:00:00;16:00:00;680.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;16:00:00;17:00:00;646.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;17:00:00;18:00:00;734.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;18:00:00;19:00:00;799.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;19:00:00;20:00:00;598.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;20:00:00;21:00:00;605.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-07;21:00:00;22:00:00;479.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;10:00:00;11:00:00;985.0
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;2022-11-08;11:00:00;12:00:00;961.0
