device_id,screen_id,reach_screen_id,player_id,player_version,os_version,screen_resolution,poll_last_utc,player_active,player_name,player_screens,display_unit_id,display_unit_name,display_unit_screen_count,geolocation,longitude,latitude,zipcode,address,display_unit_type_id,display_type_res_width,display_type_res_height,display_type_name,ad_resolution,container_name,site_id,programmatic_name,reach_publisher_id,allowed_ad_types:id,audience_data_sources:id,floor_cpm_eur,min_ad_duration_sec,max_ad_duration_sec,country
IWALLINSHOP:842875570,842875570,broadsign.com:842875570,842875570,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:52:39,True,PER0093 Gama Moda - Av. Aviacion BITEL,1,841458915,GAMA,4,"(-77.014649,-12.065986)",-77.014649,-12.065986,,"Agustín Gamarra 1275, La Victoria",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Gama Moda (GM),841460755,PERU-Gama Moda (GM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:805300729,805300729,broadsign.com:805300729,805300729,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:12:14,True,PER0081 - MKA 03 (Coney Park),1,324850483,MINKA,2,"(-77.110626,-12.048982)",-77.110626,-12.048982,07001,"Av. Argentina 3093, Callao",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Minka (MKA),324850206,PERU-Minka (MKA)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:843330250,843330250,broadsign.com:843330250,843330250,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:51:49,True,PER0095 Gama Moda - SS METRO,1,841458915,GAMA,4,"(-77.014649,-12.065986)",-77.014649,-12.065986,,"Agustín Gamarra 1275, La Victoria",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Gama Moda (GM),841460755,PERU-Gama Moda (GM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:842864439,842864439,broadsign.com:842864439,842864439,15.5.2-1,Windows 10,1080x1920,2023-07-04T14:52:43,True,PER0092 Gama Moda - Calle Gamarra,2,841458915,GAMA,4,"(-77.014649,-12.065986)",-77.014649,-12.065986,,"Agustín Gamarra 1275, La Victoria",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Gama Moda (GM),841460755,PERU-Gama Moda (GM)-2 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:151238862,151238862,broadsign.com:151238862,151238862,15.5.0-1,Windows 7,1080x1920,2023-07-04T14:51:45,True,PER0055 - JP Blv. NEW BALANCE,1,391373685,SUPERMERCADO - JP ( Plz Vea),2,"(-76.975617,-12.085253)",-76.975617,-12.085253,," Av. Javier Prado Este 4200, Surco",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,SUPERMERCADO-Jockey,849296021,PERU-SUPERMERCADO-Jockey-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:357707419,357707419,broadsign.com:357707419,357707419,15.5.0-1,Windows 10,1080x1920,2023-07-04T15:25:44,True,PER7602 PSM #13 N2 Restaurantes,1,358867595,PLaza San Miguel (PSM),14,"(-77.083652,-12.077457)",-77.083652,-12.077457,15088,"Av. la Marina 2000, San Miguel",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,PLaza San Miguel (PSM),522104732,PERU-PLaza San Miguel (PSM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:519198962,519198962,broadsign.com:519198962,519198962,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:51:40,True,PER0045 PSM #08 DELICASS,2,358867595,PLaza San Miguel (PSM),14,"(-77.083652,-12.077457)",-77.083652,-12.077457,15088,"Av. la Marina 2000, San Miguel",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,PLaza San Miguel (PSM),522104732,PERU-PLaza San Miguel (PSM)-2 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:389560451,389560451,broadsign.com:389560451,389560451,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:48:08,True,PER7700 - JP PRINCIPAL,17,91211795,JOCKEY PLAZA * General,19,"(-76.97708,-12.085716)",-76.97708,-12.085716,,"Av. Javier Prado Este 4200, Surco",45318249,1080,1920,iwall PERU pruebas,1080x1920,Jockey PLaza (JP),43103948,PERU-Jockey PLaza (JP)-17 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:579142225,579142225,broadsign.com:579142225,579142225,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:56:19,True,PER0054 - PRINCIPAL MAP SANTA ANITA,18,55127464,MAP SANTA ANITA,18,"(-76.97132,-12.055355)",-76.97132,-12.055355,15008,"Av. Nicolás Ayllón, Santa Anita ",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,Mall Aventura Santa Anita (MSA),55122496,PERU-Mall Aventura Santa Anita (MSA)-18 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
IWALLINSHOP:511514130,511514130,broadsign.com:511514130,511514130,15.5.0-1,Windows 10,1080x1920,2023-07-04T14:55:28,True,PER0030 PSM #16 N3 Bancarios,1,358867595,PLaza San Miguel (PSM),14,"(-77.083652,-12.077457)",-77.083652,-12.077457,15088,"Av. la Marina 2000, San Miguel",39463706,1080,1920,iwall PERU 2013 - 1080x1920 (escritorio de windows rotado),1080x1920,PLaza San Miguel (PSM),522104732,PERU-PLaza San Miguel (PSM)-1 screens,37,"html, video, images",PORTAL-Inspide-telco data-cam data-admobilize,10.0,10.0,30.0,PERU
